"gene","panel","screen"
"GATA1","chrX_gata1","validation"
"HBB","chr11_hs2","validation"
"HBD","chr11_hs2","validation"
"HBE1","chr11_hs2","validation"
"MYC","chr8_myc","validation"
"ANGPT1","chr8_zfpm2","inhibition"
"ANKRD46","chr8_zfpm2","inhibition"
"ATP6V1C1","chr8_zfpm2","inhibition"
"AZIN1","chr8_zfpm2","inhibition"
"C8orf59","chr8_zfpm2","inhibition"
"CCNE2","chr8_zfpm2","inhibition"
"CPNE3","chr8_zfpm2","inhibition"
"CPQ","chr8_zfpm2","inhibition"
"DCAF13","chr8_zfpm2","inhibition"
"DSCC1","chr8_zfpm2","inhibition"
"E2F5","chr8_zfpm2","inhibition"
"EBAG9","chr8_zfpm2","inhibition"
"EIF3E","chr8_zfpm2","inhibition"
"EIF3H","chr8_zfpm2","inhibition"
"EMC2","chr8_zfpm2","inhibition"
"LAPTM4B","chr8_zfpm2","inhibition"
"LRRCC1","chr8_zfpm2","inhibition"
"MTDH","chr8_zfpm2","inhibition"
"NBN","chr8_zfpm2","inhibition"
"NDUFAF6","chr8_zfpm2","inhibition"
"NUDCD1","chr8_zfpm2","inhibition"
"OTUD6B","chr8_zfpm2","inhibition"
"OXR1","chr8_zfpm2","inhibition"
"POLR2K","chr8_zfpm2","inhibition"
"POP1","chr8_zfpm2","inhibition"
"PTDSS1","chr8_zfpm2","inhibition"
"RAD21","chr8_zfpm2","inhibition"
"RAD54B","chr8_zfpm2","inhibition"
"RMDN1","chr8_zfpm2","inhibition"
"RNF19A","chr8_zfpm2","inhibition"
"STK3","chr8_zfpm2","inhibition"
"TAF2","chr8_zfpm2","inhibition"
"UBR5","chr8_zfpm2","inhibition"
"YWHAZ","chr8_zfpm2","inhibition"
"ZNF706","chr8_zfpm2","inhibition"
"ZFPM2","chr8_zfpm2","validation"
"ASAP1","chr8_myc","inhibition"
"ATAD2","chr8_myc","inhibition"
"C8orf76","chr8_myc","inhibition"
"DERL1","chr8_myc","inhibition"
"EFR3A","chr8_myc","inhibition"
"FAM83A","chr8_myc","inhibition"
"NSMCE2","chr8_myc","inhibition"
"RNF139","chr8_myc","inhibition"
"SQLE","chr8_myc","inhibition"
"TRMT12","chr8_myc","inhibition"
"WDYHV1","chr8_myc","inhibition"
"ZHX1","chr8_myc","inhibition"
"COX6C","chr8_zfpm2","inhibition"
"DECR1","chr8_zfpm2","inhibition"
"ENY2","chr8_zfpm2","inhibition"
"FAM49B","chr8_myc","inhibition"
"FAM91A1","chr8_myc","inhibition"
"INTS8","chr8_zfpm2","inhibition"
"MED30","chr8_zfpm2","inhibition"
"MRPL13","chr8_myc","inhibition"
"MTBP","chr8_myc","inhibition"
"NDUFB9","chr8_myc","inhibition"
"PABPC1","chr8_zfpm2","inhibition"
"PHF20L1","chr8_myc","inhibition"
"PLEKHF2","chr8_zfpm2","inhibition"
"RIPK2","chr8_zfpm2","inhibition"
"RPL30","chr8_zfpm2","inhibition"
"SLC25A32","chr8_zfpm2","inhibition"
"TATDN1","chr8_myc","inhibition"
"UQCRB","chr8_zfpm2","inhibition"
"UTP23","chr8_zfpm2","inhibition"
