"VECTOR","TARGET"
"chr8:100046511-100047117_16_-","chr8:100046511-100047117"
"chr8:100046511-100047117_17_-","chr8:100046511-100047117"
"chr8:100046511-100047117_4_-","chr8:100046511-100047117"
"chr8:100046511-100047117_6_-","chr8:100046511-100047117"
"chr8:100047490-100047618_13_-","chr8:100047490-100047618"
"chr8:100047490-100047618_14_-","chr8:100047490-100047618"
"chr8:100047490-100047618_4_-","chr8:100047490-100047618"
"chr8:100047490-100047618_1_-","chr8:100047490-100047618"
"chr8:100058592-100058916_7_-","chr8:100058592-100058916"
"chr8:100058592-100058916_6_-","chr8:100058592-100058916"
"chr8:100058592-100058916_12_-","chr8:100058592-100058916"
"chr8:100058592-100058916_5_+","chr8:100058592-100058916"
"chr8:100060979-100061179_5_-","chr8:100060979-100061179"
"chr8:100060979-100061179_7_+","chr8:100060979-100061179"
"chr8:100060979-100061179_4_-","chr8:100060979-100061179"
"chr8:100103263-100103598_14_+","chr8:100103263-100103598"
"chr8:100103263-100103598_7_+","chr8:100103263-100103598"
"chr8:100103263-100103598_3_-","chr8:100103263-100103598"
"chr8:100103263-100103598_11_+","chr8:100103263-100103598"
"chr8:100135454-100135813_12_+","chr8:100135454-100135813"
"chr8:100135454-100135813_13_+","chr8:100135454-100135813"
"chr8:100135454-100135813_11_+","chr8:100135454-100135813"
"chr8:100135454-100135813_5_+","chr8:100135454-100135813"
"chr8:100149647-100150520_19_-","chr8:100149647-100150520"
"chr8:100149647-100150520_17_-","chr8:100149647-100150520"
"chr8:100149647-100150520_4_+","chr8:100149647-100150520"
"chr8:100149647-100150520_16_+","chr8:100149647-100150520"
"chr8:100150563-100150820_8_+","chr8:100150563-100150820"
"chr8:100150563-100150820_2_-","chr8:100150563-100150820"
"chr8:100150563-100150820_11_+","chr8:100150563-100150820"
"chr8:100150563-100150820_4_-","chr8:100150563-100150820"
"chr8:100298104-100298485_16_-","chr8:100298104-100298485"
"chr8:100298104-100298485_9_-","chr8:100298104-100298485"
"chr8:100298104-100298485_10_-","chr8:100298104-100298485"
"chr8:100298104-100298485_6_-","chr8:100298104-100298485"
"chr8:100416489-100416827_5_-","chr8:100416489-100416827"
"chr8:100416489-100416827_9_-","chr8:100416489-100416827"
"chr8:100416489-100416827_8_+","chr8:100416489-100416827"
"chr8:100416489-100416827_4_-","chr8:100416489-100416827"
"chr8:100618577-100618655_3_+","chr8:100618577-100618655"
"chr8:100618577-100618655_1_-","chr8:100618577-100618655"
"chr8:100618577-100618655_1_+","chr8:100618577-100618655"
"chr8:100618577-100618655_4_+","chr8:100618577-100618655"
"chr8:100648191-100648429_2_+","chr8:100648191-100648429"
"chr8:100648191-100648429_8_-","chr8:100648191-100648429"
"chr8:100648191-100648429_7_+","chr8:100648191-100648429"
"chr8:100648191-100648429_3_+","chr8:100648191-100648429"
"chr8:100649538-100649997_8_-","chr8:100649538-100649997"
"chr8:100649538-100649997_9_-","chr8:100649538-100649997"
"chr8:100649538-100649997_14_-","chr8:100649538-100649997"
"chr8:100649538-100649997_8_+","chr8:100649538-100649997"
"chr8:100694635-100694995_1_-","chr8:100694635-100694995"
"chr8:100694635-100694995_12_-","chr8:100694635-100694995"
"chr8:100694635-100694995_5_-","chr8:100694635-100694995"
"chr8:100694635-100694995_6_-","chr8:100694635-100694995"
"chr8:100694999-100695109_3_-","chr8:100694999-100695109"
"chr8:100694999-100695109_2_+","chr8:100694999-100695109"
"chr8:100694999-100695109_8_-","chr8:100694999-100695109"
"chr8:100694999-100695109_2_-","chr8:100694999-100695109"
"chr8:100695124-100695267_1_+","chr8:100695124-100695267"
"chr8:100695124-100695267_3_-","chr8:100695124-100695267"
"chr8:100695124-100695267_1_-","chr8:100695124-100695267"
"chr8:100695124-100695267_4_-","chr8:100695124-100695267"
"chr8:100698338-100698614_13_+","chr8:100698338-100698614"
"chr8:100698338-100698614_13_-","chr8:100698338-100698614"
"chr8:100698338-100698614_10_+","chr8:100698338-100698614"
"chr8:100698338-100698614_3_-","chr8:100698338-100698614"
"chr8:100782364-100783146_15_-","chr8:100782364-100783146"
"chr8:100782364-100783146_11_-","chr8:100782364-100783146"
"chr8:100782364-100783146_38_+","chr8:100782364-100783146"
"chr8:100782364-100783146_26_+","chr8:100782364-100783146"
"chr8:100783241-100783956_8_+","chr8:100783241-100783956"
"chr8:100783241-100783956_21_-","chr8:100783241-100783956"
"chr8:100783241-100783956_28_-","chr8:100783241-100783956"
"chr8:100783241-100783956_20_+","chr8:100783241-100783956"
"chr8:100849758-100849987_11_+","chr8:100849758-100849987"
"chr8:100849758-100849987_5_-","chr8:100849758-100849987"
"chr8:100849758-100849987_3_-","chr8:100849758-100849987"
"chr8:100849758-100849987_8_+","chr8:100849758-100849987"
"chr8:100871884-100872663_34_+","chr8:100871884-100872663"
"chr8:100871884-100872663_64_+","chr8:100871884-100872663"
"chr8:100871884-100872663_29_+","chr8:100871884-100872663"
"chr8:100871884-100872663_21_+","chr8:100871884-100872663"
"chr8:101250421-101250946_15_-","chr8:101250421-101250946"
"chr8:101250421-101250946_13_-","chr8:101250421-101250946"
"chr8:101250421-101250946_2_+","chr8:101250421-101250946"
"chr8:101250421-101250946_17_+","chr8:101250421-101250946"
"chr8:101255174-101255540_20_-","chr8:101255174-101255540"
"chr8:101255174-101255540_14_-","chr8:101255174-101255540"
"chr8:101255174-101255540_11_-","chr8:101255174-101255540"
"chr8:101255174-101255540_15_-","chr8:101255174-101255540"
"chr8:101274326-101275214_59_+","chr8:101274326-101275214"
"chr8:101274326-101275214_48_+","chr8:101274326-101275214"
"chr8:101274326-101275214_41_+","chr8:101274326-101275214"
"chr8:101274326-101275214_7_-","chr8:101274326-101275214"
"chr8:101325584-101326129_18_+","chr8:101325584-101326129"
"chr8:101325584-101326129_39_+","chr8:101325584-101326129"
"chr8:101325584-101326129_41_+","chr8:101325584-101326129"
"chr8:101325584-101326129_43_+","chr8:101325584-101326129"
"chr8:101385315-101385524_4_-","chr8:101385315-101385524"
"chr8:101385315-101385524_8_-","chr8:101385315-101385524"
"chr8:101385315-101385524_7_-","chr8:101385315-101385524"
"chr8:101385315-101385524_5_+","chr8:101385315-101385524"
"chr8:101407501-101408156_19_-","chr8:101407501-101408156"
"chr8:101407501-101408156_19_+","chr8:101407501-101408156"
"chr8:101407501-101408156_20_-","chr8:101407501-101408156"
"chr8:101407501-101408156_10_-","chr8:101407501-101408156"
"chr8:101408239-101408734_31_-","chr8:101408239-101408734"
"chr8:101408239-101408734_15_+","chr8:101408239-101408734"
"chr8:101408239-101408734_15_-","chr8:101408239-101408734"
"chr8:101408239-101408734_11_-","chr8:101408239-101408734"
"chr8:101410527-101410797_8_-","chr8:101410527-101410797"
"chr8:101410527-101410797_7_-","chr8:101410527-101410797"
"chr8:101410527-101410797_7_+","chr8:101410527-101410797"
"chr8:101410527-101410797_2_-","chr8:101410527-101410797"
"chr8:101410802-101411060_6_-","chr8:101410802-101411060"
"chr8:101410802-101411060_4_-","chr8:101410802-101411060"
"chr8:101410802-101411060_8_+","chr8:101410802-101411060"
"chr8:101410802-101411060_7_+","chr8:101410802-101411060"
"chr8:101421938-101422197_6_-","chr8:101421938-101422197"
"chr8:101421938-101422197_7_-","chr8:101421938-101422197"
"chr8:101421938-101422197_5_-","chr8:101421938-101422197"
"chr8:101421938-101422197_2_+","chr8:101421938-101422197"
"chr8:101422360-101422491_9_-","chr8:101422360-101422491"
"chr8:101422360-101422491_4_-","chr8:101422360-101422491"
"chr8:101422360-101422491_10_-","chr8:101422360-101422491"
"chr8:101422360-101422491_8_-","chr8:101422360-101422491"
"chr8:101422736-101423096_12_+","chr8:101422736-101423096"
"chr8:101422736-101423096_27_+","chr8:101422736-101423096"
"chr8:101422736-101423096_20_+","chr8:101422736-101423096"
"chr8:101422736-101423096_28_+","chr8:101422736-101423096"
"chr8:101427745-101428756_78_+","chr8:101427745-101428756"
